Method,Target,Type,Score
POME,Recurrence,AP,0.47025082233001614
UMAP,Recurrence,AP,0.32591617706185005
POME,Recurrence,AP,0.3676144907718978
UMAP,Recurrence,AP,0.2953579696137273
POME,Recurrence,AP,0.7125220937866265
UMAP,Recurrence,AP,0.44241949581503126
POME,Recurrence,AP,0.3800309889512404
UMAP,Recurrence,AP,0.4970242434053962
POME,Recurrence,AP,0.5144397405572712
UMAP,Recurrence,AP,0.47522184664403205
POME,Recurrence,AP,0.5374926759332026
UMAP,Recurrence,AP,0.29251768589227906
POME,Recurrence,AP,0.6058990646264617
UMAP,Recurrence,AP,0.45597319627731137
POME,Recurrence,AP,0.4408029455651188
UMAP,Recurrence,AP,0.366221125500913
POME,Recurrence,AP,0.43814593359591614
UMAP,Recurrence,AP,0.3015278818716921
POME,Recurrence,AP,0.5108997127691445
UMAP,Recurrence,AP,0.34072330302419784
Naive,Recurrence,AP,0.23197903014416776
POME,Survival,AP,0.7851221672049874
UMAP,Survival,AP,0.833124095073265
POME,Survival,AP,0.857064162902046
UMAP,Survival,AP,0.7980209992145184
POME,Survival,AP,0.7714681179581667
UMAP,Survival,AP,0.7937539417742159
POME,Survival,AP,0.7656932981505455
UMAP,Survival,AP,0.8041923845529254
POME,Survival,AP,0.8540021226997824
UMAP,Survival,AP,0.8688913017401194
POME,Survival,AP,0.8520233492704891
UMAP,Survival,AP,0.7971120512543222
POME,Survival,AP,0.828639014391392
UMAP,Survival,AP,0.8018896263721459
POME,Survival,AP,0.813913180854967
UMAP,Survival,AP,0.8453539557772751
POME,Survival,AP,0.8819087695481325
UMAP,Survival,AP,0.8890480652384165
POME,Survival,AP,0.8203599127165062
UMAP,Survival,AP,0.8248302964096562
Naive,Survival,AP,0.7208387942332897
POME,RFS Event,AP,0.7199415831762381
UMAP,RFS Event,AP,0.5701458976992878
POME,RFS Event,AP,0.5232379184022166
UMAP,RFS Event,AP,0.4495570113385819
POME,RFS Event,AP,0.6123462917269977
UMAP,RFS Event,AP,0.628023896351259
POME,RFS Event,AP,0.5789310536035635
UMAP,RFS Event,AP,0.4415646164341106
