Method,Target,Type,Score
POME,Recurrence,AP,0.25502909210397307
UMAP,Recurrence,AP,0.3026958208066836
POME,Recurrence,AP,0.24260784117081527
UMAP,Recurrence,AP,0.4195873089129284
POME,Recurrence,AP,0.3351250802570529
UMAP,Recurrence,AP,0.4213301432746155
POME,Recurrence,AP,0.31657555173491664
UMAP,Recurrence,AP,0.4898932756323763
POME,Recurrence,AP,0.36186952458255006
UMAP,Recurrence,AP,0.41968232472828365
POME,Recurrence,AP,0.42323388899178604
UMAP,Recurrence,AP,0.3218675297956837
POME,Recurrence,AP,0.42260331087480474
UMAP,Recurrence,AP,0.3958599311578821
POME,Recurrence,AP,0.3136818048169827
UMAP,Recurrence,AP,0.39521645664986593
POME,Recurrence,AP,0.3465094671729282
UMAP,Recurrence,AP,0.3054883283722353
POME,Recurrence,AP,0.2593327645329329
UMAP,Recurrence,AP,0.24438369635486967
Naive,Recurrence,AP,0.23197903014416776
POME,Survival,AP,0.834288549675667
UMAP,Survival,AP,0.7300141409129404
POME,Survival,AP,0.8502833000794833
UMAP,Survival,AP,0.76508421325005
POME,Survival,AP,0.8161285119632306
UMAP,Survival,AP,0.8171912937259541
POME,Survival,AP,0.776924208839415
UMAP,Survival,AP,0.7825400145802318
POME,Survival,AP,0.8092745999533999
UMAP,Survival,AP,0.8077351237698034
POME,Survival,AP,0.7689484755147609
UMAP,Survival,AP,0.7541307472799715
POME,Survival,AP,0.807204392270063
UMAP,Survival,AP,0.842438207517642
POME,Survival,AP,0.8224539006110272
UMAP,Survival,AP,0.8548646604597573
POME,Survival,AP,0.8904699954451754
UMAP,Survival,AP,0.8430120827096235
POME,Survival,AP,0.9007419861495871
UMAP,Survival,AP,0.8462145323935057
Naive,Survival,AP,0.7208387942332897
POME,RFS Event,AP,0.6751768048231945
UMAP,RFS Event,AP,0.53077446213492
POME,RFS Event,AP,0.5137411362891361
UMAP,RFS Event,AP,0.5132243531966005
POME,RFS Event,AP,0.6079610409824029
UMAP,RFS Event,AP,0.57133421381353
POME,RFS Event,AP,0.5279295599336363
UMAP,RFS Event,AP,0.5683409787468863
POME,RFS Event,AP,0.5080285076488547
UMAP,RFS Event,AP,0.470490611994581
POME,RFS Event,AP,0.4714637760772659
UMAP,RFS Event,AP,0.4816724908982417
POME,RFS Event,AP,0.5702423756681029
UMAP,RFS Event,AP,0.5603429587430159
POME,RFS Event,AP,0.3857398700104005
UMAP,RFS Event,AP,0.5556711944456356
POME,RFS Event,AP,0.6120069937245373
UMAP,RFS Event,AP,0.5399420386849002
POME,RFS Event,AP,0.6026119909226381
UMAP,RFS Event,AP,0.623370798049619
Naive,RFS Event,AP,0.39711664482306686
POME,Days to RFS,R2,-0.00036898162920340205
UMAP,Days to RFS,R2,-0.041635834662771654
POME,Days to RFS,R2,0.01730839085102842
UMAP,Days to RFS,R2,-0.06031352608943519
POME,Days to RFS,R2,-0.07556590099720584
UMAP,Days to RFS,R2,-0.03568082693568231
POME,Days to RFS,R2,-0.009620950870709244
UMAP,Days to RFS,R2,0.21359912631319067
POME,Days to RFS,R2,-0.01358780015647243
UMAP,Days to RFS,R2,0.06490649380750602
POME,Days to RFS,R2,0.0018677786485482573
UMAP,Days to RFS,R2,-0.035783434427581584
POME,Days to RFS,R2,0.06801747686638104
UMAP,Days to RFS,R2,0.03161608232890922
POME,Days to RFS,R2,-0.014701177981112368
UMAP,Days to RFS,R2,-0.052650901519402105
POME,Days to RFS,R2,0.055613990412870185
UMAP,Days to RFS,R2,-0.146132454258314
POME,Days to RFS,R2,-0.04684279949388892
UMAP,Days to RFS,R2,0.16188897740061003
POME,Recurrence,AP,0.2994191511683312
UMAP,Recurrence,AP,0.3174190916980246
POME,Recurrence,AP,0.2186710542561772
UMAP,Recurrence,AP,0.3820406833809451
POME,Recurrence,AP,0.2326063655743782
UMAP,Recurrence,AP,0.4149176473686297
POME,Recurrence,AP,0.2596343054524051
UMAP,Recurrence,AP,0.45404689609767235
POME,Recurrence,AP,0.48673520717332197
UMAP,Recurrence,AP,0.3774286904908713
POME,Recurrence,AP,0.43571248863331613
UMAP,Recurrence,AP,0.3342663048153142
POME,Recurrence,AP,0.3107317410814917
UMAP,Recurrence,AP,0.4007998430639933
POME,Recurrence,AP,0.2532057506292948
UMAP,Recurrence,AP,0.41770701592558634
POME,Recurrence,AP,0.39311219508770234
UMAP,Recurrence,AP,0.28260104339619657
POME,Recurrence,AP,0.2233311843511387
UMAP,Recurrence,AP,0.2980442110716068
Naive,Recurrence,AP,0.23197903014416776
POME,Survival,AP,0.8167079847150723
UMAP,Survival,AP,0.7346287640257321
POME,Survival,AP,0.8365185826834761
UMAP,Survival,AP,0.7515937606359266
POME,Survival,AP,0.7772891915090054
UMAP,Survival,AP,0.8237448326658866
POME,Survival,AP,0.829387467639008
UMAP,Survival,AP,0.7634898363805215
POME,Survival,AP,0.8515679948677521
UMAP,Survival,AP,0.7921368863849971
POME,Survival,AP,0.8187153299277374
