Method,Target,Type,Score
POME,Disease Free Status,AP,0.34164234942012717
UMAP,Disease Free Status,AP,0.2940746853790332
POME,Disease Free Status,AP,0.5182275132275131
UMAP,Disease Free Status,AP,0.3714658515945731
POME,Disease Free Status,AP,0.3555937494152597
UMAP,Disease Free Status,AP,0.3470672029495559
POME,Disease Free Status,AP,0.39758463214345563
UMAP,Disease Free Status,AP,0.5030715653264672
POME,Disease Free Status,AP,0.4546967257112185
UMAP,Disease Free Status,AP,0.4491186373539315
POME,Disease Free Status,AP,0.4143164892287699
UMAP,Disease Free Status,AP,0.3370637297406266
POME,Disease Free Status,AP,0.5985735034754642
UMAP,Disease Free Status,AP,0.5855908289241623
POME,Disease Free Status,AP,0.5198685372598416
UMAP,Disease Free Status,AP,0.5353252330063925
POME,Disease Free Status,AP,0.3691229141229141
UMAP,Disease Free Status,AP,0.3386528216676958
POME,Disease Free Status,AP,0.5490277777777778
UMAP,Disease Free Status,AP,0.32313115125615127
Naive,Disease Free Status,AP,0.29276315789473684
POME,Disease-specific Survival status,AP,0.5535151321247578
UMAP,Disease-specific Survival status,AP,0.5282289566301106
POME,Disease-specific Survival status,AP,0.5845840941698187
UMAP,Disease-specific Survival status,AP,0.4866018241018241
POME,Disease-specific Survival status,AP,0.37779699035284975
UMAP,Disease-specific Survival status,AP,0.2388423519439562
POME,Disease-specific Survival status,AP,0.5253533171927536
UMAP,Disease-specific Survival status,AP,0.2485848143488669
POME,Disease-specific Survival status,AP,0.6665831335828138
UMAP,Disease-specific Survival status,AP,0.27949175271281534
POME,Disease-specific Survival status,AP,0.4553705553705554
UMAP,Disease-specific Survival status,AP,0.5984181718664476
POME,Disease-specific Survival status,AP,0.5407745032745033
UMAP,Disease-specific Survival status,AP,0.52084353523307
POME,Disease-specific Survival status,AP,0.5059867698726395
UMAP,Disease-specific Survival status,AP,0.22803170908993098
POME,Disease-specific Survival status,AP,0.4273992488107321
UMAP,Disease-specific Survival status,AP,0.3026860217077608
POME,Disease-specific Survival status,AP,0.6941696296535007
UMAP,Disease-specific Survival status,AP,0.34815927594583723
Naive,Disease-specific Survival status,AP,0.2384937238493724
POME,Progression Free Status,AP,0.4523649537584019
UMAP,Progression Free Status,AP,0.38596564944202644
POME,Progression Free Status,AP,0.5233481376822564
UMAP,Progression Free Status,AP,0.6151844411638059
POME,Progression Free Status,AP,0.6884002634235422
UMAP,Progression Free Status,AP,0.5212544311362375
POME,Progression Free Status,AP,0.46706237442912585
UMAP,Progression Free Status,AP,0.5806115537326211
POME,Progression Free Status,AP,0.39579497476729136
UMAP,Progression Free Status,AP,0.67134357520369
POME,Progression Free Status,AP,0.5007769057181534
UMAP,Progression Free Status,AP,0.4421954261944216
POME,Progression Free Status,AP,0.7072138862670849
UMAP,Progression Free Status,AP,0.5936139976504169
POME,Progression Free Status,AP,0.6169213052085403
UMAP,Progression Free Status,AP,0.543169268381035
POME,Progression Free Status,AP,0.5593368245496488
UMAP,Progression Free Status,AP,0.4861509745891831
POME,Progression Free Status,AP,0.7254837812445392
UMAP,Progression Free Status,AP,0.5879287665366055
Naive,Progression Free Status,AP,0.4046692607003891
POME,Disease Free (Months),R2,0.2481731268268491
UMAP,Disease Free (Months),R2,-0.5783945067599001
POME,Disease Free (Months),R2,0.08655961835454984
UMAP,Disease Free (Months),R2,-0.06502454062923313
POME,Disease Free (Months),R2,0.26385750845029177
UMAP,Disease Free (Months),R2,-0.07871156230479404
POME,Disease Free (Months),R2,0.17520589008270193
UMAP,Disease Free (Months),R2,0.20813441923550013
POME,Disease Free (Months),R2,-2.815815199530454
UMAP,Disease Free (Months),R2,-1.6279487679352087
POME,Disease Free (Months),R2,0.14375762209869225
UMAP,Disease Free (Months),R2,0.1414105928500935
POME,Disease Free (Months),R2,-0.5373198922264442
UMAP,Disease Free (Months),R2,-0.03776584055345844
POME,Disease Free (Months),R2,0.12249599886169116
UMAP,Disease Free (Months),R2,0.16882517658813978
POME,Disease Free (Months),R2,0.1574606516627235
UMAP,Disease Free (Months),R2,-0.13514052127638787
POME,Disease Free (Months),R2,-0.1870300355667871
UMAP,Disease Free (Months),R2,-0.028320403094769242
POME,Months of disease-specific survival,R2,0.1873957444765072
UMAP,Months of disease-specific survival,R2,-0.031982414865446396
POME,Months of disease-specific survival,R2,0.003151512982193183
UMAP,Months of disease-specific survival,R2,0.2526773694600123
POME,Months of disease-specific survival,R2,-0.03224254234294732
UMAP,Months of disease-specific survival,R2,-0.1888503256113434
POME,Months of disease-specific survival,R2,0.13471313397233398
UMAP,Months of disease-specific survival,R2,0.11974988579463308
POME,Months of disease-specific survival,R2,0.08994577360938039
UMAP,Months of disease-specific survival,R2,0.13000112363742933
