Method,Target,Type,Score
POME,Disease Free Status,AP,0.41751661918328586
UMAP,Disease Free Status,AP,0.2589480053081586
POME,Disease Free Status,AP,0.27313067955541076
UMAP,Disease Free Status,AP,0.32766674044507116
POME,Disease Free Status,AP,0.41033887259693713
UMAP,Disease Free Status,AP,0.3093560529676682
POME,Disease Free Status,AP,0.3015355945211915
UMAP,Disease Free Status,AP,0.34887023308075943
POME,Disease Free Status,AP,0.28597365645925343
UMAP,Disease Free Status,AP,0.36566827697262483
POME,Disease Free Status,AP,0.3531240833006617
UMAP,Disease Free Status,AP,0.31482657260435043
POME,Disease Free Status,AP,0.38295702119231534
UMAP,Disease Free Status,AP,0.300696416138695
POME,Disease Free Status,AP,0.311098556681632
UMAP,Disease Free Status,AP,0.3656051464874994
POME,Disease Free Status,AP,0.41880168028146675
UMAP,Disease Free Status,AP,0.4651180700200308
POME,Disease Free Status,AP,0.6207200207200207
UMAP,Disease Free Status,AP,0.2582972582972583
Naive,Disease Free Status,AP,0.29276315789473684
POME,Disease-specific Survival status,AP,0.49856294457917094
UMAP,Disease-specific Survival status,AP,0.2690618304205583
POME,Disease-specific Survival status,AP,0.34497469734975916
UMAP,Disease-specific Survival status,AP,0.1982744063631811
POME,Disease-specific Survival status,AP,0.36890355887029946
UMAP,Disease-specific Survival status,AP,0.448988313222763
POME,Disease-specific Survival status,AP,0.3185710737700468
UMAP,Disease-specific Survival status,AP,0.21240744502493586
POME,Disease-specific Survival status,AP,0.45583735425706484
UMAP,Disease-specific Survival status,AP,0.20761724494842457
POME,Disease-specific Survival status,AP,0.2741852110821445
UMAP,Disease-specific Survival status,AP,0.24280833808822425
POME,Disease-specific Survival status,AP,0.352023342372607
UMAP,Disease-specific Survival status,AP,0.21097069539355412
POME,Disease-specific Survival status,AP,0.4493365722970986
UMAP,Disease-specific Survival status,AP,0.25618048666005033
POME,Disease-specific Survival status,AP,0.32452813436015016
UMAP,Disease-specific Survival status,AP,0.2706879781990647
POME,Disease-specific Survival status,AP,0.3003705005286033
UMAP,Disease-specific Survival status,AP,0.2959895599579919
Naive,Disease-specific Survival status,AP,0.2384937238493724
POME,Progression Free Status,AP,0.44876747748859536
UMAP,Progression Free Status,AP,0.3287052387610139
POME,Progression Free Status,AP,0.6568887484570929
UMAP,Progression Free Status,AP,0.4426768198793852
POME,Progression Free Status,AP,0.4604949782452455
UMAP,Progression Free Status,AP,0.37613989251370983
POME,Progression Free Status,AP,0.43232350849539447
UMAP,Progression Free Status,AP,0.345105403737419
POME,Progression Free Status,AP,0.5285835657461923
UMAP,Progression Free Status,AP,0.5821832337717402
POME,Progression Free Status,AP,0.4835494611348473
UMAP,Progression Free Status,AP,0.42843105845490903
POME,Progression Free Status,AP,0.3583409349666227
UMAP,Progression Free Status,AP,0.39876384714685487
POME,Progression Free Status,AP,0.3760250579186859
UMAP,Progression Free Status,AP,0.35235229208499164
POME,Progression Free Status,AP,0.46502620425147223
UMAP,Progression Free Status,AP,0.40337231545021757
POME,Progression Free Status,AP,0.4410612894196963
UMAP,Progression Free Status,AP,0.4322774668428554
Naive,Progression Free Status,AP,0.4046692607003891
POME,Disease Free (Months),R2,-0.0525064656233285
UMAP,Disease Free (Months),R2,-0.665678812731777
