Method,Target,Type,Score
POME,Disease Free Status,AP,0.4333374958374958
UMAP,Disease Free Status,AP,0.2828165909570084
POME,Disease Free Status,AP,0.6825376561000684
UMAP,Disease Free Status,AP,0.2642161960347744
POME,Disease Free Status,AP,0.3977846302181333
UMAP,Disease Free Status,AP,0.3539249639249639
POME,Disease Free Status,AP,0.7139822595704948
UMAP,Disease Free Status,AP,0.4464238265602289
POME,Disease Free Status,AP,0.6026984126984127
UMAP,Disease Free Status,AP,0.5132046177347056
POME,Disease Free Status,AP,0.4533273915626857
UMAP,Disease Free Status,AP,0.30212380318215554
POME,Disease Free Status,AP,0.7001581550494596
UMAP,Disease Free Status,AP,0.4530182780182781
POME,Disease Free Status,AP,0.6068627450980393
UMAP,Disease Free Status,AP,0.4635328034347642
POME,Disease Free Status,AP,0.5807322909813332
UMAP,Disease Free Status,AP,0.26774569118199937
POME,Disease Free Status,AP,0.5472132034632035
UMAP,Disease Free Status,AP,0.3768775376312141
Naive,Disease Free Status,AP,0.29276315789473684
POME,Disease-specific Survival status,AP,0.6922422274695001
UMAP,Disease-specific Survival status,AP,0.4873245775317968
POME,Disease-specific Survival status,AP,0.5359875740557559
UMAP,Disease-specific Survival status,AP,0.4750146712748739
POME,Disease-specific Survival status,AP,0.6236729725524652
UMAP,Disease-specific Survival status,AP,0.24365284028527726
POME,Disease-specific Survival status,AP,0.593802962941719
UMAP,Disease-specific Survival status,AP,0.2614939914051655
POME,Disease-specific Survival status,AP,0.6792133520074697
UMAP,Disease-specific Survival status,AP,0.3027058385228091
POME,Disease-specific Survival status,AP,0.7566407376891248
UMAP,Disease-specific Survival status,AP,0.5001118919871026
POME,Disease-specific Survival status,AP,0.6007910865269737
UMAP,Disease-specific Survival status,AP,0.4727685659750877
POME,Disease-specific Survival status,AP,0.641153049848702
UMAP,Disease-specific Survival status,AP,0.23245619685630825
POME,Disease-specific Survival status,AP,0.47188488872980855
UMAP,Disease-specific Survival status,AP,0.4004358508225204
POME,Disease-specific Survival status,AP,0.6340279740571992
UMAP,Disease-specific Survival status,AP,0.30379696635282577
Naive,Disease-specific Survival status,AP,0.2384937238493724
POME,Progression Free Status,AP,0.49757359935410683
UMAP,Progression Free Status,AP,0.38371358274443756
POME,Progression Free Status,AP,0.6225745051412831
UMAP,Progression Free Status,AP,0.615162721988034
POME,Progression Free Status,AP,0.8122168060913033
UMAP,Progression Free Status,AP,0.5386525301238517
POME,Progression Free Status,AP,0.6476318984709788
UMAP,Progression Free Status,AP,0.516506871384018
POME,Progression Free Status,AP,0.5043134005155989
UMAP,Progression Free Status,AP,0.6390574089140266
POME,Progression Free Status,AP,0.5993374745565985
UMAP,Progression Free Status,AP,0.4337022812218889
POME,Progression Free Status,AP,0.740251186773875
UMAP,Progression Free Status,AP,0.5431296231459235
POME,Progression Free Status,AP,0.7642132106032713
UMAP,Progression Free Status,AP,0.5337019173102728
POME,Progression Free Status,AP,0.687030469515479
UMAP,Progression Free Status,AP,0.5076637004532949
POME,Progression Free Status,AP,0.5954453054112332
UMAP,Progression Free Status,AP,0.6171067793911413
Naive,Progression Free Status,AP,0.4046692607003891
POME,Disease Free (Months),R2,0.42420163651598797
UMAP,Disease Free (Months),R2,-0.054854101675547495
POME,Disease Free (Months),R2,0.25312705982736894
UMAP,Disease Free (Months),R2,0.1328767846826222
POME,Disease Free (Months),R2,0.35395876243032
UMAP,Disease Free (Months),R2,-0.02733952531650652
POME,Disease Free (Months),R2,0.04410283995018671
UMAP,Disease Free (Months),R2,0.16007997420278752
POME,Disease Free (Months),R2,-1.4722764764209488
UMAP,Disease Free (Months),R2,-1.872796505182519
POME,Disease Free (Months),R2,0.16397467973931146
UMAP,Disease Free (Months),R2,0.14534701479931234
POME,Disease Free (Months),R2,-0.5949893197462517
UMAP,Disease Free (Months),R2,-0.20939088402511974
POME,Disease Free (Months),R2,0.09437265537443185
UMAP,Disease Free (Months),R2,-0.042728292394770495
POME,Disease Free (Months),R2,0.3548696375911482
UMAP,Disease Free (Months),R2,-0.09498355080094067
POME,Disease Free (Months),R2,0.06102125072646902
UMAP,Disease Free (Months),R2,-0.0960730015519271
POME,Months of disease-specific survival,R2,0.13747632157753187
UMAP,Months of disease-specific survival,R2,-0.051431938476993455
POME,Months of disease-specific survival,R2,0.1802451128920729
