Method,Target,Type,Score
POME,Disease Free Status,AP,0.4475478225478226
UMAP,Disease Free Status,AP,0.3748359598718022
POME,Disease Free Status,AP,0.48581046570177006
UMAP,Disease Free Status,AP,0.5989222288241897
POME,Disease Free Status,AP,0.5547192096211704
UMAP,Disease Free Status,AP,0.4329691534840276
POME,Disease Free Status,AP,0.6885259548465483
UMAP,Disease Free Status,AP,0.3416804594582372
POME,Disease Free Status,AP,0.5223711473711474
UMAP,Disease Free Status,AP,0.3421113091701327
POME,Disease Free Status,AP,0.5335453127119794
UMAP,Disease Free Status,AP,0.5831962089130873
POME,Disease Free Status,AP,0.6600783475783476
UMAP,Disease Free Status,AP,0.6413865546218487
POME,Disease Free Status,AP,0.46254039982110157
UMAP,Disease Free Status,AP,0.5955646205646206
POME,Disease Free Status,AP,0.3818689117708726
UMAP,Disease Free Status,AP,0.4968668767688375
POME,Disease Free Status,AP,0.7517618411000765
UMAP,Disease Free Status,AP,0.8627622377622377
Naive,Disease Free Status,AP,0.29276315789473684
POME,Disease-specific Survival status,AP,0.7894472951291134
UMAP,Disease-specific Survival status,AP,0.7676904562280057
POME,Disease-specific Survival status,AP,0.5242930456640134
UMAP,Disease-specific Survival status,AP,0.6033172578859001
POME,Disease-specific Survival status,AP,0.532356472030385
UMAP,Disease-specific Survival status,AP,0.363610084569944
POME,Disease-specific Survival status,AP,0.5656386230728336
UMAP,Disease-specific Survival status,AP,0.7134730766309714
POME,Disease-specific Survival status,AP,0.6699802784361608
UMAP,Disease-specific Survival status,AP,0.6320179289664583
POME,Disease-specific Survival status,AP,0.600407848324515
UMAP,Disease-specific Survival status,AP,0.6246225996225996
POME,Disease-specific Survival status,AP,0.6959535572593353
UMAP,Disease-specific Survival status,AP,0.7054487304487305
POME,Disease-specific Survival status,AP,0.5639484813866953
UMAP,Disease-specific Survival status,AP,0.6441378066378065
POME,Disease-specific Survival status,AP,0.6617997021393868
UMAP,Disease-specific Survival status,AP,0.42269431213679187
POME,Disease-specific Survival status,AP,0.5786226693203438
UMAP,Disease-specific Survival status,AP,0.5940788707392123
Naive,Disease-specific Survival status,AP,0.2384937238493724
POME,Progression Free Status,AP,0.7517612737804087
UMAP,Progression Free Status,AP,0.5964649202654186
POME,Progression Free Status,AP,0.6156300049706149
UMAP,Progression Free Status,AP,0.7620747575291491
POME,Progression Free Status,AP,0.7418196043959058
UMAP,Progression Free Status,AP,0.6598524354681992
POME,Progression Free Status,AP,0.737743647598827
UMAP,Progression Free Status,AP,0.655142740260582
POME,Progression Free Status,AP,0.5968871340659266
UMAP,Progression Free Status,AP,0.5331115939756139
POME,Progression Free Status,AP,0.6396057928139972
UMAP,Progression Free Status,AP,0.6806081932307482
POME,Progression Free Status,AP,0.6663216391192581
UMAP,Progression Free Status,AP,0.7333928559649878
POME,Progression Free Status,AP,0.5871988599496707
UMAP,Progression Free Status,AP,0.4781217459449208
POME,Progression Free Status,AP,0.6287533280487854
UMAP,Progression Free Status,AP,0.6987918148317309
POME,Progression Free Status,AP,0.6906502159191283
UMAP,Progression Free Status,AP,0.6428695077526674
Naive,Progression Free Status,AP,0.4046692607003891
POME,Disease Free (Months),R2,-0.06089396145246839
UMAP,Disease Free (Months),R2,-0.9164810568426289
POME,Disease Free (Months),R2,0.0004904404829259024
UMAP,Disease Free (Months),R2,-0.26449703772944444
POME,Disease Free (Months),R2,0.05938927323923082
UMAP,Disease Free (Months),R2,-0.3709743067420279
POME,Disease Free (Months),R2,-0.0821385774927208
UMAP,Disease Free (Months),R2,0.19129438234163176
