Method,Target,Type,Score
POME,Disease Free Status,AP,0.5079013579013579
UMAP,Disease Free Status,AP,0.3491908880278999
POME,Disease Free Status,AP,0.5492900342023149
UMAP,Disease Free Status,AP,0.5969678469678469
POME,Disease Free Status,AP,0.37976031520259407
UMAP,Disease Free Status,AP,0.5097171347171348
POME,Disease Free Status,AP,0.5947965614632281
UMAP,Disease Free Status,AP,0.4985279057859703
POME,Disease Free Status,AP,0.45875524539317647
UMAP,Disease Free Status,AP,0.434020754173178
POME,Disease Free Status,AP,0.7137955182072828
UMAP,Disease Free Status,AP,0.5995884773662552
POME,Disease Free Status,AP,0.7388287638287638
UMAP,Disease Free Status,AP,0.6106634505654114
POME,Disease Free Status,AP,0.4199144714934189
UMAP,Disease Free Status,AP,0.5683261183261183
POME,Disease Free Status,AP,0.5741603404646882
UMAP,Disease Free Status,AP,0.6214304013217056
POME,Disease Free Status,AP,0.688775687913619
UMAP,Disease Free Status,AP,0.8354166666666667
Naive,Disease Free Status,AP,0.29276315789473684
POME,Disease-specific Survival status,AP,0.7506889452011404
UMAP,Disease-specific Survival status,AP,0.7599274599274599
POME,Disease-specific Survival status,AP,0.5878963396371519
UMAP,Disease-specific Survival status,AP,0.7162483980665799
POME,Disease-specific Survival status,AP,0.5150020155283314
UMAP,Disease-specific Survival status,AP,0.3614204427764244
POME,Disease-specific Survival status,AP,0.5402864228135126
UMAP,Disease-specific Survival status,AP,0.7330798587377534
POME,Disease-specific Survival status,AP,0.7077915140415141
UMAP,Disease-specific Survival status,AP,0.7216689560439561
POME,Disease-specific Survival status,AP,0.5513634513634513
UMAP,Disease-specific Survival status,AP,0.6288210496484049
POME,Disease-specific Survival status,AP,0.6179535742035742
UMAP,Disease-specific Survival status,AP,0.6943153895829565
POME,Disease-specific Survival status,AP,0.6532525194209977
UMAP,Disease-specific Survival status,AP,0.5724439710852754
POME,Disease-specific Survival status,AP,0.7373376623376624
UMAP,Disease-specific Survival status,AP,0.4824537912004362
POME,Disease-specific Survival status,AP,0.30313452997958795
UMAP,Disease-specific Survival status,AP,0.6431687283700731
Naive,Disease-specific Survival status,AP,0.2384937238493724
POME,Progression Free Status,AP,0.6299755598109242
UMAP,Progression Free Status,AP,0.6187790630279681
POME,Progression Free Status,AP,0.5871820551031045
UMAP,Progression Free Status,AP,0.6662073985481025
POME,Progression Free Status,AP,0.8116761841494071
UMAP,Progression Free Status,AP,0.6638974485704618
POME,Progression Free Status,AP,0.5592650363316436
UMAP,Progression Free Status,AP,0.6992371471141927
POME,Progression Free Status,AP,0.5333984188140983
UMAP,Progression Free Status,AP,0.5171506667572375
POME,Progression Free Status,AP,0.4509587492082757
UMAP,Progression Free Status,AP,0.6909642663936466
POME,Progression Free Status,AP,0.6254588555913925
UMAP,Progression Free Status,AP,0.7206326023368632
POME,Progression Free Status,AP,0.7106871884839145
UMAP,Progression Free Status,AP,0.4466778426343002
POME,Progression Free Status,AP,0.6804192451483233
UMAP,Progression Free Status,AP,0.691199816464954
POME,Progression Free Status,AP,0.7903198527928064
UMAP,Progression Free Status,AP,0.7491666807578872
Naive,Progression Free Status,AP,0.4046692607003891
POME,Disease Free (Months),R2,-0.009637527900336229
UMAP,Disease Free (Months),R2,-0.14103744545319596
POME,Disease Free (Months),R2,0.20904080059945418
UMAP,Disease Free (Months),R2,0.01271717384782678
POME,Disease Free (Months),R2,0.19760350789833103
UMAP,Disease Free (Months),R2,0.0649590799762052
POME,Disease Free (Months),R2,0.09911190450326168
UMAP,Disease Free (Months),R2,0.2904170126302341
POME,Disease Free (Months),R2,-3.31078222922707
UMAP,Disease Free (Months),R2,-1.2025384654568434
POME,Disease Free (Months),R2,0.08968833247463948
UMAP,Disease Free (Months),R2,0.17192356648798168
POME,Disease Free (Months),R2,-0.4431463968682743
UMAP,Disease Free (Months),R2,-0.09189965073311135
POME,Disease Free (Months),R2,0.20475946398010925
UMAP,Disease Free (Months),R2,0.024281407143234013
POME,Disease Free (Months),R2,0.2600543065220804
UMAP,Disease Free (Months),R2,0.22089576131752642
POME,Disease Free (Months),R2,0.003958187451982065
UMAP,Disease Free (Months),R2,-0.5458872451729024
POME,Months of disease-specific survival,R2,0.05895097592023957
UMAP,Months of disease-specific survival,R2,0.15003569469847045
POME,Months of disease-specific survival,R2,0.09366946032393197
UMAP,Months of disease-specific survival,R2,0.1112106812545205
POME,Months of disease-specific survival,R2,-0.04054100450594045
