Method,Target,Type,Score
POME,Disease Free Status,AP,0.5567209106682791
UMAP,Disease Free Status,AP,0.3626309067688378
POME,Disease Free Status,AP,0.555026455026455
UMAP,Disease Free Status,AP,0.5231738664194805
POME,Disease Free Status,AP,0.46227253864508766
UMAP,Disease Free Status,AP,0.3492128481873805
POME,Disease Free Status,AP,0.7150831991411701
UMAP,Disease Free Status,AP,0.43802073156534577
POME,Disease Free Status,AP,0.6348934018051666
UMAP,Disease Free Status,AP,0.3936271184637198
POME,Disease Free Status,AP,0.4961220043572985
UMAP,Disease Free Status,AP,0.5410532504099755
POME,Disease Free Status,AP,0.6922862712336397
UMAP,Disease Free Status,AP,0.5824380943590947
POME,Disease Free Status,AP,0.5698605488079171
UMAP,Disease Free Status,AP,0.6365411821294173
POME,Disease Free Status,AP,0.7357264957264957
UMAP,Disease Free Status,AP,0.4778998362630076
POME,Disease Free Status,AP,0.44459706959706957
UMAP,Disease Free Status,AP,0.8494505494505494
Naive,Disease Free Status,AP,0.29276315789473684
POME,Disease-specific Survival status,AP,0.4808522285795013
UMAP,Disease-specific Survival status,AP,0.7646812957157785
POME,Disease-specific Survival status,AP,0.582939282939283
UMAP,Disease-specific Survival status,AP,0.677663195190138
POME,Disease-specific Survival status,AP,0.4703953841214607
UMAP,Disease-specific Survival status,AP,0.34521240408337184
POME,Disease-specific Survival status,AP,0.681957176810118
UMAP,Disease-specific Survival status,AP,0.6705664705664706
POME,Disease-specific Survival status,AP,0.6554761621293879
UMAP,Disease-specific Survival status,AP,0.706119874850525
POME,Disease-specific Survival status,AP,0.6036074577064603
UMAP,Disease-specific Survival status,AP,0.6286955131431875
POME,Disease-specific Survival status,AP,0.49997538233820427
UMAP,Disease-specific Survival status,AP,0.6887581143015925
POME,Disease-specific Survival status,AP,0.5883756961282537
UMAP,Disease-specific Survival status,AP,0.597394235881078
POME,Disease-specific Survival status,AP,0.5237023400309405
UMAP,Disease-specific Survival status,AP,0.4758381016002967
POME,Disease-specific Survival status,AP,0.49176020058372993
UMAP,Disease-specific Survival status,AP,0.6045259100283024
Naive,Disease-specific Survival status,AP,0.2384937238493724
POME,Progression Free Status,AP,0.5161340084701718
UMAP,Progression Free Status,AP,0.5864566313498263
POME,Progression Free Status,AP,0.7129194874659079
