Method,Target,Type,Score
POME,Aplasia,AP,0.2683234642573532
UMAP,Aplasia,AP,0.32129006220294126
POME,Aplasia,AP,0.3126663002716859
UMAP,Aplasia,AP,0.41498020151473475
POME,Aplasia,AP,0.4055535825258572
UMAP,Aplasia,AP,0.5035619715111515
POME,Aplasia,AP,0.3660732195997256
UMAP,Aplasia,AP,0.4082730450640494
POME,Aplasia,AP,0.4421478767369991
UMAP,Aplasia,AP,0.4483299373686297
POME,Aplasia,AP,0.6116306352162338
UMAP,Aplasia,AP,0.5629566097030607
POME,Aplasia,AP,0.3575695092836923
UMAP,Aplasia,AP,0.36746761843657555
POME,Aplasia,AP,0.3423781737947244
UMAP,Aplasia,AP,0.37551782459278504
POME,Aplasia,AP,0.39167135963136424
UMAP,Aplasia,AP,0.35391159697591407
POME,Aplasia,AP,0.5045238786868042
UMAP,Aplasia,AP,0.49052946978132717
Naive,Aplasia,AP,0.21205962059620595
POME,Neutropenic Fever,AP,0.04490077962808847
UMAP,Neutropenic Fever,AP,0.4251563055876103
POME,Neutropenic Fever,AP,0.09256620217952477
UMAP,Neutropenic Fever,AP,0.7594969059691238
POME,Neutropenic Fever,AP,0.09233142363223304
UMAP,Neutropenic Fever,AP,0.7345969326979025
POME,Neutropenic Fever,AP,0.10139331610306115
UMAP,Neutropenic Fever,AP,0.7971303505300826
POME,Neutropenic Fever,AP,0.20004198757525607
UMAP,Neutropenic Fever,AP,0.8634583479807707
POME,Neutropenic Fever,AP,0.18159654838338551
UMAP,Neutropenic Fever,AP,0.7107537646604786
POME,Neutropenic Fever,AP,0.1571385523708845
UMAP,Neutropenic Fever,AP,0.7488844744152242
POME,Neutropenic Fever,AP,0.1453048661138052
UMAP,Neutropenic Fever,AP,0.6191776212760876
POME,Neutropenic Fever,AP,0.0598224957845254
UMAP,Neutropenic Fever,AP,0.7322324525868902
POME,Neutropenic Fever,AP,0.17371030593912276
UMAP,Neutropenic Fever,AP,0.697634638520445
Naive,Neutropenic Fever,AP,0.0512646793134598
POME,Aplasia,AP,0.2523397168594844
UMAP,Aplasia,AP,0.3214344926647926
