Method,Target,Type,Score
POME,Disease Free Status,AP,0.6400352733686068
UMAP,Disease Free Status,AP,0.3723271282094811
POME,Disease Free Status,AP,0.6240771148817126
UMAP,Disease Free Status,AP,0.5429608971275638
POME,Disease Free Status,AP,0.4914932235520471
UMAP,Disease Free Status,AP,0.4626719576719576
POME,Disease Free Status,AP,0.8015924888473909
UMAP,Disease Free Status,AP,0.6035425292594077
POME,Disease Free Status,AP,0.6635625258432276
UMAP,Disease Free Status,AP,0.4124278499278499
POME,Disease Free Status,AP,0.576331569664903
UMAP,Disease Free Status,AP,0.34774790414513124
POME,Disease Free Status,AP,0.6347194815225505
UMAP,Disease Free Status,AP,0.5048986598006207
POME,Disease Free Status,AP,0.5361351611351612
UMAP,Disease Free Status,AP,0.45244508577841913
POME,Disease Free Status,AP,0.6964674758792406
UMAP,Disease Free Status,AP,0.44295757619287035
POME,Disease Free Status,AP,0.7351190476190477
UMAP,Disease Free Status,AP,0.6834884404388715
Naive,Disease Free Status,AP,0.29276315789473684
POME,Disease-specific Survival status,AP,0.7298624543305394
UMAP,Disease-specific Survival status,AP,0.5239324430711991
POME,Disease-specific Survival status,AP,0.6329397476526664
UMAP,Disease-specific Survival status,AP,0.5959040142863672
POME,Disease-specific Survival status,AP,0.7266597175688085
UMAP,Disease-specific Survival status,AP,0.32923894287530653
POME,Disease-specific Survival status,AP,0.6207348207348207
UMAP,Disease-specific Survival status,AP,0.6182464310990956
POME,Disease-specific Survival status,AP,0.7311365850688101
UMAP,Disease-specific Survival status,AP,0.6789562425591837
POME,Disease-specific Survival status,AP,0.6988231310599732
UMAP,Disease-specific Survival status,AP,0.6739286139328765
POME,Disease-specific Survival status,AP,0.6907220907433131
UMAP,Disease-specific Survival status,AP,0.841736622986623
POME,Disease-specific Survival status,AP,0.7902086475615886
UMAP,Disease-specific Survival status,AP,0.5098444894196136
POME,Disease-specific Survival status,AP,0.7548126116307935
UMAP,Disease-specific Survival status,AP,0.6654388714733542
POME,Disease-specific Survival status,AP,0.5814281422839195
UMAP,Disease-specific Survival status,AP,0.7724228450513035
Naive,Disease-specific Survival status,AP,0.2384937238493724
POME,Progression Free Status,AP,0.6221841865727331
