Method,Target,Type,Score
POME,Recurrence,AP,0.28920827009603556
UMAP,Recurrence,AP,0.3910632927855442
POME,Recurrence,AP,0.2951260111159966
UMAP,Recurrence,AP,0.2876905017665419
POME,Recurrence,AP,0.41761905162950375
UMAP,Recurrence,AP,0.36700101519165074
POME,Recurrence,AP,0.36450499178609613
UMAP,Recurrence,AP,0.45151564019502144
POME,Recurrence,AP,0.35687164964190154
UMAP,Recurrence,AP,0.32112083259654073
POME,Recurrence,AP,0.2403415340293228
UMAP,Recurrence,AP,0.2762714150071726
POME,Recurrence,AP,0.32716819374582984
UMAP,Recurrence,AP,0.4244788499388371
POME,Recurrence,AP,0.285668035619275
UMAP,Recurrence,AP,0.3791773702423892
POME,Recurrence,AP,0.41610074966747623
UMAP,Recurrence,AP,0.3188664856771417
POME,Recurrence,AP,0.4478784386588962
UMAP,Recurrence,AP,0.2864963717605473
Naive,Recurrence,AP,0.23197903014416776
POME,Survival,AP,0.7169734859845642
UMAP,Survival,AP,0.8269974476842121
POME,Survival,AP,0.8675595443839416
UMAP,Survival,AP,0.7810324541367344
POME,Survival,AP,0.7562970179253208
UMAP,Survival,AP,0.7590436503647662
POME,Survival,AP,0.7841836129224502
UMAP,Survival,AP,0.786921870624232
POME,Survival,AP,0.7933019070684914
UMAP,Survival,AP,0.8470534404403933
POME,Survival,AP,0.8363839711039944
UMAP,Survival,AP,0.7717324357525994
POME,Survival,AP,0.7115781983069063
UMAP,Survival,AP,0.7791427299402035
POME,Survival,AP,0.8631108376091905
UMAP,Survival,AP,0.8701371153421305
POME,Survival,AP,0.8263038072158803
UMAP,Survival,AP,0.8884374750287922
POME,Survival,AP,0.8961836640219224
UMAP,Survival,AP,0.7798681524780797
Naive,Survival,AP,0.7208387942332897
POME,RFS Event,AP,0.6685737640042096
UMAP,RFS Event,AP,0.5196798381409379
POME,RFS Event,AP,0.5661527607754506
UMAP,RFS Event,AP,0.43108488921934407
POME,RFS Event,AP,0.629763305720755
UMAP,RFS Event,AP,0.5398944111995895
POME,RFS Event,AP,0.5673143547071205
UMAP,RFS Event,AP,0.4483952630242033
POME,RFS Event,AP,0.4235583538932378
UMAP,RFS Event,AP,0.6073035439750862
POME,RFS Event,AP,0.4752819089692186
UMAP,RFS Event,AP,0.5057937714348587
POME,RFS Event,AP,0.5970457123086496
UMAP,RFS Event,AP,0.6877485802863609
POME,RFS Event,AP,0.4454450496230035
UMAP,RFS Event,AP,0.4524242078505942
POME,RFS Event,AP,0.6507083284912265
UMAP,RFS Event,AP,0.40367505666512693
POME,RFS Event,AP,0.47003527419064395
UMAP,RFS Event,AP,0.432516548579976
Naive,RFS Event,AP,0.39711664482306686
POME,Days to RFS,R2,0.045032271252459455
UMAP,Days to RFS,R2,0.02113929165388484
POME,Days to RFS,R2,-970.2629679338078
UMAP,Days to RFS,R2,0.009297974327341696
POME,Days to RFS,R2,0.08337061889754127
UMAP,Days to RFS,R2,0.08331897708532743
POME,Days to RFS,R2,-0.011108343305729962
UMAP,Days to RFS,R2,-0.11229980410258356
POME,Days to RFS,R2,-0.03195888957052473
UMAP,Days to RFS,R2,0.06692671007483564
POME,Days to RFS,R2,0.1211023483926229
UMAP,Days to RFS,R2,0.02173909009755992
POME,Days to RFS,R2,0.04244016068196521
UMAP,Days to RFS,R2,-0.13036666102518768
POME,Days to RFS,R2,-0.03977063829222316
UMAP,Days to RFS,R2,-0.16846830681344094
POME,Days to RFS,R2,0.005398054673517949
UMAP,Days to RFS,R2,0.026433385015736666
POME,Days to RFS,R2,0.05249980885508809
UMAP,Days to RFS,R2,0.004733432831720896
POME,Recurrence,AP,0.47290351185141277
UMAP,Recurrence,AP,0.4248149049565837
POME,Recurrence,AP,0.34912730109188017
