Method,Target,Type,Score
POME,Disease Free Status,AP,0.2359015328118687
UMAP,Disease Free Status,AP,0.3319258260079516
POME,Disease Free Status,AP,0.44499697833031165
UMAP,Disease Free Status,AP,0.34184042153390815
POME,Disease Free Status,AP,0.4358926017929849
UMAP,Disease Free Status,AP,0.24848436258453238
POME,Disease Free Status,AP,0.29197444530777866
UMAP,Disease Free Status,AP,0.44098366512159615
POME,Disease Free Status,AP,0.3521602078770863
UMAP,Disease Free Status,AP,0.3558508912931702
POME,Disease Free Status,AP,0.36973503988746365
UMAP,Disease Free Status,AP,0.2675078651890246
POME,Disease Free Status,AP,0.36876261244077335
UMAP,Disease Free Status,AP,0.40180254930254933
POME,Disease Free Status,AP,0.38411106958989877
UMAP,Disease Free Status,AP,0.3377535719640983
POME,Disease Free Status,AP,0.2878718715320022
UMAP,Disease Free Status,AP,0.34776483369160716
POME,Disease Free Status,AP,0.5654040404040404
UMAP,Disease Free Status,AP,0.329119341986989
Naive,Disease Free Status,AP,0.29276315789473684
POME,Disease-specific Survival status,AP,0.5159479682840223
UMAP,Disease-specific Survival status,AP,0.3117787863518502
POME,Disease-specific Survival status,AP,0.361522234249507
UMAP,Disease-specific Survival status,AP,0.19109201557586838
POME,Disease-specific Survival status,AP,0.2885208499478131
UMAP,Disease-specific Survival status,AP,0.3815555598309609
POME,Disease-specific Survival status,AP,0.34977646445137156
UMAP,Disease-specific Survival status,AP,0.316553342242008
POME,Disease-specific Survival status,AP,0.4282900650547709
UMAP,Disease-specific Survival status,AP,0.24640844438445636
POME,Disease-specific Survival status,AP,0.3378481159363512
UMAP,Disease-specific Survival status,AP,0.22066603435451224
POME,Disease-specific Survival status,AP,0.45111500578492264
UMAP,Disease-specific Survival status,AP,0.1914418164782209
POME,Disease-specific Survival status,AP,0.47279407219870234
UMAP,Disease-specific Survival status,AP,0.24207977815352189
POME,Disease-specific Survival status,AP,0.3035033924888798
UMAP,Disease-specific Survival status,AP,0.30297350692099906
POME,Disease-specific Survival status,AP,0.2243572146711702
UMAP,Disease-specific Survival status,AP,0.26512844861707974
Naive,Disease-specific Survival status,AP,0.2384937238493724
POME,Progression Free Status,AP,0.4036881224460637
UMAP,Progression Free Status,AP,0.3121935053590337
POME,Progression Free Status,AP,0.5346272591105742
UMAP,Progression Free Status,AP,0.5445247612662591
POME,Progression Free Status,AP,0.5591854298171546
UMAP,Progression Free Status,AP,0.38092574533653417
POME,Progression Free Status,AP,0.4572748583637813
UMAP,Progression Free Status,AP,0.38448421358635315
POME,Progression Free Status,AP,0.5349180895929069
UMAP,Progression Free Status,AP,0.44470787440210835
POME,Progression Free Status,AP,0.34080839631467386
UMAP,Progression Free Status,AP,0.4594858019980373
POME,Progression Free Status,AP,0.4768852465901734
UMAP,Progression Free Status,AP,0.37088232529274884
POME,Progression Free Status,AP,0.3879236788922897
UMAP,Progression Free Status,AP,0.3746522129485006
POME,Progression Free Status,AP,0.5889380385094349
UMAP,Progression Free Status,AP,0.5014602608090165
POME,Progression Free Status,AP,0.5296691883801901
UMAP,Progression Free Status,AP,0.47523399570412883
Naive,Progression Free Status,AP,0.4046692607003891
POME,Disease Free (Months),R2,-1.0872208718319443
UMAP,Disease Free (Months),R2,-0.05313162202390331
POME,Disease Free (Months),R2,0.2085018692214784
UMAP,Disease Free (Months),R2,-0.14059916899996505
POME,Disease Free (Months),R2,0.20793334611273862
UMAP,Disease Free (Months),R2,-0.01054138197845389
POME,Disease Free (Months),R2,0.15894958236015744
UMAP,Disease Free (Months),R2,-0.05599880690026193
POME,Disease Free (Months),R2,-2.7445938946977466
UMAP,Disease Free (Months),R2,-1.2537344237309256
POME,Disease Free (Months),R2,0.15872140776599375
