Method,Target,Type,Score,Precision,Recall,F1
POME,Aplasia,AP,0.32984534349086425,0.40425531914893614,0.21348314606741572,0.27941176470588236
UMAP,Aplasia,AP,0.33679484612264954,0.38095238095238093,0.1797752808988764,0.24427480916030533
POME,Aplasia,AP,0.39589428684975747,0.5,0.11267605633802817,0.1839080459770115
UMAP,Aplasia,AP,0.3705238123179679,0.5714285714285714,0.16901408450704225,0.2608695652173913
POME,Aplasia,AP,0.48461828715228067,0.6444444444444445,0.32222222222222224,0.42962962962962964
UMAP,Aplasia,AP,0.40572509315580324,0.4888888888888889,0.24444444444444444,0.32592592592592595
POME,Aplasia,AP,0.5046768080953477,0.6666666666666666,0.26804123711340205,0.38235294117647056
UMAP,Aplasia,AP,0.49504528076285104,0.6,0.24742268041237114,0.35036496350364965
POME,Aplasia,AP,0.5189034046580295,0.65,0.23214285714285715,0.34210526315789475
UMAP,Aplasia,AP,0.5638781288458532,0.6140350877192983,0.3125,0.41420118343195267
POME,Aplasia,AP,0.6050715531675956,0.6956521739130435,0.2302158273381295,0.34594594594594597
UMAP,Aplasia,AP,0.6257821878343962,0.75,0.2589928057553957,0.3850267379679144
POME,Aplasia,AP,0.35943025557378105,0.4827586206896552,0.1728395061728395,0.2545454545454545
UMAP,Aplasia,AP,0.41379234983296426,0.5384615384615384,0.1728395061728395,0.2616822429906542
POME,Aplasia,AP,0.4651470718246452,0.5789473684210527,0.1375,0.2222222222222222
UMAP,Aplasia,AP,0.41199251795595837,0.5555555555555556,0.25,0.3448275862068966
POME,Aplasia,AP,0.5171569163096487,0.64,0.17777777777777778,0.2782608695652174
UMAP,Aplasia,AP,0.48110069615246265,0.6571428571428571,0.25555555555555554,0.368
POME,Aplasia,AP,0.5368823690887929,0.76,0.2111111111111111,0.33043478260869563
UMAP,Aplasia,AP,0.5473095972375004,0.6410256410256411,0.2777777777777778,0.3875968992248062
Naive,Aplasia,AP,0.21205962059620595,-1.0,-1.0,-1.0
POME,Neutropenic Fever,AP,0.059266822919339525,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.048923717423714375,0.0,0.0,0.0
